id,Age,Birth_Country,Date_of_Birth,Function,Gender,Height_m,Place_of_birth,Residence_Country,name,events,Place_of_residence
0,35,Australia,1 Feb 1989,Athlete,Female,1.71,"BRISBANE, QLD",,POLKINGHORNE Clare,"         Discipline              Event  Rank  Medal
0  FootballFootball  WomenAUSAustralia     9    NaN",
0,25,Germany,26 Oct 1999,Athlete,Female,1.74,SINSHEIM,Germany,LINDER Sarai,"         Discipline            Event  Rank         Medal
0  FootballFootball  WomenGERGermany     3  Bronze Medal",SINSHEIM
0,25,United States,31 Dec 1998,Athlete,Female,1.65,"NEW YORK CITY, NY",United States,COFFEY Samantha,"         Discipline                  Event  Rank       Medal
0  FootballFootball  WomenUSAUnited States     1  Gold Medal",
0,33,France,31 Jul 1991,Athlete,Female,1.65,SAINTE-COLOMBE,Great Britain,DALI Kenza,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenFRAFrance     6    NaN",
0,20,Spain,7 Aug 2004,Athlete,Male,1.77,SABADELL,Spain,PUJOL Edgar,"         Discipline                     Event  Rank  Medal
0  FootballFootball  MenDOMDominican Republic    12    NaN",
0,28,Spain,19 Mar 1996,Athlete,Female,1.65,FELANITX,Spain,CALDENTEY Mariona,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenESPSpain     4    NaN",
0,21,Canada,12 Feb 2003,Athlete,Female,1.77,"MARKHAM, ON",,ROSE Jade,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenCANCanada     7    NaN",
0,30,Australia,5 Sep 1994,Athlete,Female,1.61,"BRISBANE, QLD",,RASO Hayley,"         Discipline              Event  Rank  Medal
0  FootballFootball  WomenAUSAustralia     9    NaN",
0,21,Israel,24 Oct 2003,Athlete,Male,1.87,ASHDOD,Israel,TURGEMAN Dor,"         Discipline         Event  Rank  Medal
0  FootballFootball  MenISRIsrael    15    NaN",
0,22,Israel,29 Apr 2002,Athlete,Male,1.86,JERUSALEM,Israel,FEREDE Ayanaw,"         Discipline         Event  Rank  Medal
0  FootballFootball  MenISRIsrael    15    NaN",
0,26,United States,19 Sep 1998,Athlete,Female,1.77,"MENLO PARK, CA",United States,DAVIDSON Tierna,"         Discipline                  Event  Rank       Medal
0  FootballFootball  WomenUSAUnited States     1  Gold Medal",
0,28,Germany,30 Apr 1996,Athlete,Female,1.70,HANNOVERSCH MUENDEN,United States,RAUCH Felicitas,"         Discipline            Event  Rank         Medal
0  FootballFootball  WomenGERGermany     3  Bronze Medal",
0,21,Dominican Republic,2 Nov 2002,Athlete,Male,1.81,SANTO DOMINGO,Spain,LORENZO Nowend,"         Discipline                     Event  Rank  Medal
0  FootballFootball  MenDOMDominican Republic    12    NaN",PAMPLONA
0,23,France,15 Feb 2001,Athlete,Male,1.96,DREUX,Germany,CISSE Ibrahima,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,23,Mali,3 Feb 2001,Athlete,Male,1.73,BAMAKO,France,DOUCOURE Fode,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,29,Japan,29 Sep 1995,Athlete,Female,1.70,TOKYO,,YAMASHITA Ayaka,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenJPNJapan     5    NaN",
0,30,Zambia,11 Oct 1994,Athlete,Female,1.58,LUSAKA,Türkiye,ZULU Misozi,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenZAMZambia    12    NaN",
0,22,Uzbekistan,22 Jul 2002,Athlete,Male,1.74,FERGANA,Uzbekistan,KHOLMATOV Diyor,"         Discipline             Event  Rank  Medal
0  FootballFootball  MenUZBUzbekistan    13    NaN",
0,24,Nigeria,11 Aug 2000,Athlete,Female,1.68,WARRI,Japan,OKEKE Chidinma,"         Discipline            Event  Rank  Medal
0  FootballFootball  WomenNGRNigeria    11    NaN",
0,21,Japan,25 Dec 2002,Athlete,Male,1.93,"GINOWAN, OKINAWA",Japan,NOZAWA Taishi,"         Discipline        Event  Rank  Medal
0  FootballFootball  MenJPNJapan     5    NaN",
0,34,Colombia,25 Dec 1989,Athlete,Female,1.67,RIONEGRO,,USME Catalina,"         Discipline             Event  Rank  Medal
0  FootballFootball  WomenCOLColombia     8    NaN",
0,22,France,15 May 2002,Athlete,Male,1.97,CRETEIL,Italy,SACO Coli,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,23,,15 Jul 2001,Athlete,Male,1.77,,,ODILOV Alisher,"         Discipline             Event  Rank  Medal
0  FootballFootball  MenUZBUzbekistan    13    NaN",
0,28,Japan,8 Aug 1996,Athlete,Female,1.66,NISHITOKYO,,SEIKE Kiko,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenJPNJapan     5    NaN",
0,28,Colombia,10 Nov 1995,Athlete,Female,1.70,DOSQUEBRADAS,,RESTREPO Marcela,"         Discipline             Event  Rank  Medal
0  FootballFootball  WomenCOLColombia     8    NaN",
0,21,France,8 Oct 2003,Athlete,Male,1.88,STAINS,,MAGASSA Soungoutou,"         Discipline         Event  Rank         Medal
0  FootballFootball  MenFRAFrance     2  Silver Medal",
0,32,Egypt,11 Jul 1992,Athlete,Male,1.79,EL-MAHALLA EL-KUBRA,Great Britain,MOHAMED ELNENY,"         Discipline        Event  Rank  Medal
0  FootballFootball  MenEGYEgypt     4    NaN",
0,23,United States,5 Feb 2001,Athlete,Male,1.85,"OMAHA, NE",,MCGUIRE Duncan,"         Discipline                Event  Rank  Medal
0  FootballFootball  MenUSAUnited States     8    NaN",
0,25,France,1 Nov 1998,Athlete,Female,1.77,COLOMBES,France,KATOTO Marie-Antoinette,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenFRAFrance     6    NaN",
0,31,Australia,12 Jul 1993,Athlete,Female,1.74,"NEWCASTLE, NSW",,VAN EGMOND Emily,"         Discipline              Event  Rank  Medal
0  FootballFootball  WomenAUSAustralia     9    NaN",
0,34,United States,23 Aug 1990,Athlete,Female,1.68,"NAPERVILLE, IL",,KRUEGER Casey,"         Discipline                  Event  Rank       Medal
0  FootballFootball  WomenUSAUnited States     1  Gold Medal",
0,24,United States,10 Aug 2000,Athlete,Female,1.68,"WINDSOR, CO",United States,SMITH Sophia,"         Discipline                  Event  Rank       Medal
0  FootballFootball  WomenUSAUnited States     1  Gold Medal",
0,21,France,5 Jul 2003,Athlete,Male,1.76,PARIS,Great Britain,DIARRA Brahima,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,22,Spain,24 Jul 2002,Athlete,Male,1.79,MOSTOLES (MADRID),Spain,URBAEZ Joao,"         Discipline                     Event  Rank  Medal
0  FootballFootball  MenDOMDominican Republic    12    NaN",MADRID
0,38,Brazil,19 Feb 1986,Athlete,Female,1.62,DOIS RIACHOS,United States,MARTA,"         Discipline           Event  Rank         Medal
0  FootballFootball  WomenBRABrazil     2  Silver Medal","ORLANDO, FL"
0,24,,31 Jan 2000,Athlete,Male,1.70,,Great Britain,ALVAREZ Julian,"         Discipline            Event  Rank  Medal
0  FootballFootball  MenARGArgentina     7    NaN",
0,22,Argentina,1 Jun 2002,Athlete,Male,1.76,MORENO,Argentina,MEDINA Cristian,"         Discipline            Event  Rank  Medal
0  FootballFootball  MenARGArgentina     7    NaN",MORENO
0,27,Japan,10 May 1997,Athlete,Female,1.63,KITAGAWA,,KITAGAWA Hikaru,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenJPNJapan     5    NaN",
0,20,Israel,10 Feb 2004,Athlete,Male,1.75,NETANYA,Israel,MADMON Elad,"         Discipline         Event  Rank  Medal
0  FootballFootball  MenISRIsrael    15    NaN",
0,25,,30 Apr 1999,Athlete,Female,1.62,,,CHIBA Remina,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenJPNJapan     5    NaN",
0,25,Australia,12 Mar 1999,Athlete,Female,1.76,"GRENFELL, NSW",,HUNT Clare,"         Discipline              Event  Rank  Medal
0  FootballFootball  WomenAUSAustralia     9    NaN",
0,25,Japan,7 Dec 1998,Athlete,Female,1.72,YOSHIKAWA,,MINAMI Moeka,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenJPNJapan     5    NaN",
0,29,United States,14 May 1995,Athlete,Female,1.62,"CINCINNATI, OH",United States,LAVELLE Rose,"         Discipline                  Event  Rank       Medal
0  FootballFootball  WomenUSAUnited States     1  Gold Medal",
0,22,Japan,11 Aug 2002,Athlete,Male,1.87,SHIZUOKA CITY,Japan,SEKINE Hiroki,"         Discipline        Event  Rank  Medal
0  FootballFootball  MenJPNJapan     5    NaN",
0,31,New Zealand,17 Jun 1993,Athlete,Female,1.72,PAPAMOA,,STOTT Rebekah,"         Discipline                Event  Rank  Medal
0  FootballFootball  WomenNZLNew Zealand    10    NaN",
0,28,Canada,11 Mar 1996,Athlete,Female,1.74,"CHATEAUGUAY, QC",Canada,GILLES Vanessa,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenCANCanada     7    NaN","OTTAWA, ON"
0,23,Spain,27 Jan 2001,Athlete,Female,1.60,YECLA,Spain,NAVARRO Eva,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenESPSpain     4    NaN",
0,22,France,14 Dec 2001,Athlete,Male,1.92,EPINAY-SUR SEINE,Portugal,TOUNKARA Mamadou,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,23,,21 Sep 2001,Athlete,Male,1.89,,,CABALLERO Gustavo,"         Discipline           Event  Rank  Medal
0  FootballFootball  MenPARParaguay     6    NaN",
0,22,France,25 Feb 2002,Athlete,Male,1.83,TREMBLAY-EN-FRANCE,,AKLIOUCHE Maghnes,"         Discipline         Event  Rank         Medal
0  FootballFootball  MenFRAFrance     2  Silver Medal",
0,37,Nigeria,2 May 1987,Athlete,Female,1.68,LAGOS,Saudi Arabia,OLUEHI Tochukwu,"         Discipline            Event  Rank  Medal
0  FootballFootball  WomenNGRNigeria    11    NaN",
0,22,Uzbekistan,15 May 2002,Athlete,Male,1.66,NAVOIY,Uzbekistan,JALOLIDDINOV Jasurbek,"         Discipline             Event  Rank  Medal
0  FootballFootball  MenUZBUzbekistan    13    NaN",
0,29,Guinea,10 Feb 1995,Athlete,Male,1.72,CONAKRY,Germany,KEITA Naby,"         Discipline         Event  Rank  Medal
0  FootballFootball  MenGUIGuinea    16    NaN",
0,23,Egypt,1 Jan 2001,Athlete,Male,1.80,KAFR EL MAYASRA,Egypt,OSAMA FAISAL,"         Discipline        Event  Rank  Medal
0  FootballFootball  MenEGYEgypt     4    NaN",
0,23,Iraq,25 May 2001,Athlete,Male,1.81,CORGI,Iraq,MUSTAFA SAADOON,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenIRQIraq    10    NaN",
0,21,Egypt,4 Jul 2003,Athlete,Male,1.98,MONUFIA,,OMAR FAYED,"         Discipline        Event  Rank  Medal
0  FootballFootball  MenEGYEgypt     4    NaN",
0,20,Spain,16 Apr 2004,Athlete,Male,1.75,ELS HOSTALETS DE PIEROLA,Spain,AKHOMACH Ilias,"         Discipline          Event  Rank         Medal
0  FootballFootball  MenMARMorocco     3  Bronze Medal",
0,22,France,25 Feb 2002,Athlete,Male,1.70,GENNEVILLIERS,France,KECHTA Yassine,"         Discipline          Event  Rank         Medal
0  FootballFootball  MenMARMorocco     3  Bronze Medal",
0,24,Iraq,1 May 2000,Athlete,Male,1.80,BAGHDAD,Iraq,IBRAHIM BAYESH,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenIRQIraq    10    NaN",
0,20,Sweden,27 Jul 2004,Athlete,Male,1.82,,Sweden,JOSEF AL IMAM,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenIRQIraq    10    NaN",
0,28,,22 Aug 1996,Athlete,Female,1.64,,,MORIYA Miyabi,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenJPNJapan     5    NaN",
0,30,Nigeria,9 Oct 1994,Athlete,Female,1.73,IKORODU,United States,OSHOALA Asisat,"         Discipline            Event  Rank  Medal
0  FootballFootball  WomenNGRNigeria    11    NaN",
0,34,Colombia,22 Aug 1990,Athlete,Female,1.60,MEDELL?N,,MONTOYA Daniela,"         Discipline             Event  Rank  Medal
0  FootballFootball  WomenCOLColombia     8    NaN",
0,21,Mali,19 Dec 2002,Athlete,Male,,BAMAKO,,SOUMAORO Lassine,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali   NaN    NaN",
0,19,Paraguay,16 Feb 2005,Athlete,Male,1.75,ASUNCION,Argentina,SOLER Julio,"         Discipline            Event  Rank  Medal
0  FootballFootball  MenARGArgentina     7    NaN",
0,23,Argentina,20 Aug 2001,Athlete,Male,1.81,LA MATANZA,Argentina,GARCIA Joaquin,"         Discipline            Event  Rank  Medal
0  FootballFootball  MenARGArgentina     7    NaN",
0,22,,27 Nov 2001,Athlete,Male,1.80,,,OROZ Aimar,"         Discipline        Event  Rank       Medal
0  FootballFootball  MenESPSpain     1  Gold Medal",
0,30,Spain,4 Feb 1994,Athlete,Female,1.74,MOLLET DEL VALLES,Spain,PUTELLAS Alexia,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenESPSpain     4    NaN",BARCELONA
0,20,Japan,9 May 2004,Athlete,Female,1.65,TAKAISHI,Sweden,HAMANO Maika,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenJPNJapan     5    NaN",
0,20,Zambia,8 Aug 2004,Athlete,Female,1.50,CHOMA,Zambia,SIAMFUKO Esther,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenZAMZambia    12    NaN",
0,36,Colombia,3 Mar 1988,Athlete,Female,1.67,BELLO,,SEPULVEDA Sandra,"         Discipline             Event  Rank  Medal
0  FootballFootball  WomenCOLColombia     8    NaN",
0,23,Egypt,30 Jul 2001,Athlete,Male,1.70,,Egypt,MAHMOUD SABER,"         Discipline        Event  Rank  Medal
0  FootballFootball  MenEGYEgypt     4    NaN",
0,24,Spain,22 Jan 2000,Athlete,Female,1.70,CAMPLLONCH,Great Britain,CODINA Laia,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenESPSpain     4    NaN",
0,25,Uzbekistan,4 Apr 1999,Athlete,Male,1.86,KITOB,Türkiye,ALIKULOV Khusniddin,"         Discipline             Event  Rank  Medal
0  FootballFootball  MenUZBUzbekistan    13    NaN",
0,34,Germany,9 Oct 1990,Athlete,Female,1.80,G?PPINGEN,Great Britain,BERGER Ann-Katrin,"         Discipline            Event  Rank         Medal
0  FootballFootball  WomenGERGermany     3  Bronze Medal",LONDON
0,23,France,17 May 2001,Athlete,Male,1.85,COLOMBES,Germany,KONE Manu,"         Discipline         Event  Rank         Medal
0  FootballFootball  MenFRAFrance     2  Silver Medal",
0,25,New Zealand,18 Jan 1999,Athlete,Female,1.64,AUCKLAND,Denmark,STEINMETZ Malia,"         Discipline                Event  Rank  Medal
0  FootballFootball  WomenNZLNew Zealand    10    NaN",
0,20,Germany,7 Feb 2004,Athlete,Male,1.83,K?SCHING,Germany,BOESL Enrique,"         Discipline                     Event  Rank  Medal
0  FootballFootball  MenDOMDominican Republic    12    NaN",
0,22,Mali,30 Jan 2002,Athlete,Male,1.74,BAMAKO,France,SISSOKHO Issouf,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,20,Mali,4 Nov 2003,Athlete,Male,1.89,BAMAKO,Spain,DIAKITE Moussa,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,26,Canada,12 Oct 1998,Athlete,Female,1.68,"QUEBEC CITY, QC",Canada,CARLE Gabrielle,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenCANCanada     7    NaN","ST. ROMUALD, QC"
0,17,Spain,22 Jan 2007,Athlete,Male,1.83,ESTANYOL,Spain,CUBARSI Pau,"         Discipline        Event  Rank       Medal
0  FootballFootball  MenESPSpain     1  Gold Medal",BARCELONA
0,22,Morocco,7 Apr 2002,Athlete,Male,1.81,CASABLANCA,Morocco,NAKACH Akram,"         Discipline          Event  Rank         Medal
0  FootballFootball  MenMARMorocco     3  Bronze Medal",
0,23,,17 Apr 2001,Athlete,Male,1.95,,,NIR ON Omer,"         Discipline         Event  Rank  Medal
0  FootballFootball  MenISRIsrael    15    NaN",
0,22,,11 Jul 2002,Athlete,Female,1.71,,,OHBA Shu,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenJPNJapan     5    NaN",
0,21,Paraguay,6 Jan 2003,Athlete,Male,1.92,PIRIBEBUY,Paraguay,FRUTOS Rodrigo,"         Discipline           Event  Rank  Medal
0  FootballFootball  MenPARParaguay     6    NaN",ASUNCION
0,20,Belgium,10 May 2004,Athlete,Male,1.80,STROMBEEK-BEVER,Belgium,EL KHANNOUSS Bilal,"         Discipline          Event  Rank         Medal
0  FootballFootball  MenMARMorocco     3  Bronze Medal",UCCLE/UKKEL
0,28,Canada,11 Nov 1995,Athlete,Female,1.70,"TORONTO, ON",,BUCHANAN Kadeisha,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenCANCanada     7    NaN",
0,21,Mali,11 Nov 2002,Athlete,Male,1.84,BAMAKO,France,DIARRA Lassine,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,23,Uzbekistan,12 Jan 2001,Athlete,Male,1.78,TASHKENT,Uzbekistan,IBRAGIMOV Ibrokhim,"         Discipline             Event  Rank  Medal
0  FootballFootball  MenUZBUzbekistan    13    NaN",
0,32,Canada,23 Oct 1992,Athlete,Female,1.72,"LONDON, ON",Great Britain,ZADORSKY Shelina,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenCANCanada     7    NaN",LONDON
0,18,Guinea,6 May 2006,Athlete,Male,1.91,,Italy,CAMARA Henry,"         Discipline         Event  Rank  Medal
0  FootballFootball  MenGUIGuinea    16    NaN",
0,32,Nigeria,21 Dec 1991,Athlete,Female,1.74,OWERRI,Mexico,OHALE Osinachi,"         Discipline            Event  Rank  Medal
0  FootballFootball  WomenNGRNigeria    11    NaN",
0,24,Zambia,3 Jun 2000,Athlete,Female,1.70,,Zambia,KUNDANANJI Racheal,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenZAMZambia    12    NaN",LUSAKA
